CLUSTER_ID,COORDINATES
0,[ -8.6118646   41.14717989]
1,[ -8.60673956  41.14613601]
2,[ -8.67003725  41.23717387]
3,[ -8.61753273  41.14686593]
4,[ -8.58573307  41.14880485]
5,[ -8.62933977  41.15634067]
6,[ -8.60870874  41.15207533]
7,[ -8.61461232  41.1414653 ]
8,[ -8.63988672  41.16032205]
9,[ -8.6018905   41.18175838]
10,[ -8.60971868  41.16105617]
11,[ -8.64878196  41.15358108]
12,[ -8.60305507  41.15581639]
13,[ -8.60528598  41.16103851]
14,[ -8.59937003  41.14995455]
15,[ -8.63048772  41.16220293]
16,[ -8.62501328  41.15025518]
17,[ -8.65379611  41.18105603]
18,[ -8.5918899   41.16238604]
19,[ -8.62082198  41.16306771]
20,[ -8.62158678  41.15662585]
21,[ -8.58675443  41.16393338]
22,[ -8.64546562  41.1619449 ]
23,[ -8.58737339  41.1748724 ]
24,[ -8.64945919  41.1668258 ]
25,[ -8.59927324  41.16339976]
26,[ -8.67584259  41.15378512]
27,[ -8.61183109  41.16678994]
28,[ -8.65469797  41.15394491]
29,[ -8.68140704  41.1582124 ]
30,[ -8.62560719  41.16699331]
31,[ -8.58847477  41.1718381 ]
32,[ -8.64872981  41.1627393 ]
33,[ -8.61181318  41.17208535]
34,[ -8.61365689  41.13611112]
35,[ -8.59514234  41.1557882 ]
36,[ -8.58282731  41.18038122]
37,[ -8.66568548  41.15638839]
38,[ -8.65906366  41.16119362]
39,[ -8.63608875  41.14096171]
40,[ -8.62496349  41.1783751 ]
41,[ -8.594166    41.16747093]
42,[ -8.61325479  41.17671555]
43,[ -8.67445528  41.15032963]
44,[ -8.66331666  41.16314958]
45,[ -8.60950182  41.17647904]
46,[ -8.57827028  41.15945477]
47,[ -8.63722564  41.15269517]
48,[ -8.69071331  41.17992985]
49,[ -8.68725487  41.1736851 ]
50,[ -8.62013519  41.12940852]
51,[ -8.60533543  41.12541219]
52,[ -8.56581353  41.17436878]
53,[ -8.6550242   41.17171358]
54,[ -8.66829724  41.17637358]
55,[ -8.66480001  41.15021084]
56,[ -8.6471897   41.17807586]
57,[ -8.66028961  41.15445539]
58,[ -8.6593037   41.14887818]
59,[ -8.5931246   41.15097901]
60,[ -8.57500757  41.14294335]
61,[ -8.63611141  41.17169003]
62,[ -8.56987815  41.16021471]
63,[ -8.62906582  41.17908037]
64,[ -8.59748885  41.187484  ]
65,[ -8.60451515  41.17159164]
66,[ -8.63993571  41.14335842]
67,[ -8.66032832  41.17064368]
68,[ -8.68396054  41.17409449]
69,[ -8.64849869  41.17477433]
70,[ -8.66356053  41.17954672]
71,[ -8.57133614  41.16559258]
72,[ -8.66053404  41.18128396]
73,[ -8.68244614  41.17938944]
