CALL_TYPE,ORIGIN_CALL,ORIGIN_STAND,TAXI_ID,TIMESTAMP,POLYLINE
C,,,20000589,07-01 07,"[[-861 4115]
 [-862 4115]
 [-863 4115]
 [-862 4116]
 [-863 4116]]"
B,,Av. Boavista,20000596,07-01 07,"[[-863 4116]
 [-864 4116]
 [-864 4117]
 [-865 4117]
 [-866 4117]
 [-867 4117]
 [-866 4117]
 [-866 4118]]"
C,,,20000320,07-01 07,"[[-861 4115]
 [-862 4115]
 [-863 4115]
 [-862 4116]
 [-863 4116]
 [-864 4116]
 [-859 4115]
 [-865 4116]
 [-864 4116]
 [-864 4115]
 [-863 4115]
 [-862 4115]
 [-861 4115]]"
C,,,20000520,07-01 07,"[[-857 4116]
 [-857 4115]
 [-858 4115]
 [-861 4115]
 [-860 4115]
 [-858 4115]
 [-859 4115]
 [-860 4115]]"
C,,,20000337,07-01 07,"[[-864 4119]
 [-864 4118]
 [-865 4118]
 [-866 4118]
 [-867 4118]
 [-868 4118]]"
C,,,20000231,07-01 07,"[[-861 4115]
 [-860 4115]
 [-859 4115]
 [-858 4115]
 [-857 4115]
 [-858 4115]
 [-857 4115]
 [-857 4116]
 [-858 4116]
 [-857 4116]
 [-857 4117]]"
C,,,20000456,07-01 07,"[[-857 4115]
 [-858 4115]
 [-859 4116]
 [-859 4115]
 [-860 4115]]"
C,,,20000011,07-01 07,"[[-861 4115]
 [-862 4115]
 [-862 4116]
 [-862 4117]]"
C,,,20000403,07-01 07,"[[-861 4115]
 [-860 4115]
 [-859 4115]
 [-859 4116]
 [-859 4117]
 [-858 4117]]"
C,,,20000320,07-01 07,"[[-861 4115]
 [-860 4115]
 [-860 4114]
 [-861 4114]
 [-860 4114]]"
C,,,20000233,07-01 07,"[[-861 4115]
 [-862 4115]
 [-862 4116]
 [-861 4116]
 [-860 4116]]"
C,,,20000520,07-01 07,"[[-856 4117]
 [-857 4117]
 [-858 4117]
 [-859 4117]
 [-860 4117]
 [-861 4117]
 [-862 4117]]"
A,31508.0,,20000571,07-01 07,"[[-861 4116]
 [-860 4116]
 [-860 4117]
 [-860 4118]
 [-859 4118]
 [-859 4117]
 [-858 4117]
 [-857 4117]]"
C,,,20000233,07-01 07,"[[-860 4116]
 [-860 4117]
 [-861 4117]
 [-862 4117]
 [-863 4117]]"
C,,,20000231,07-01 07,"[[-861 4115]
 [-860 4115]
 [-861 4115]
 [-861 4116]
 [-860 4116]
 [-861 4116]
 [-860 4116]]"
B,,Brasília,20000497,07-01 07,"[[-858 4117]
 [-862 4116]
 [-862 4117]
 [-863 4117]
 [-864 4117]
 [-860 4118]
 [-861 4118]
 [-864 4118]
 [-864 4117]
 [-864 4118]
 [-864 4117]
 [-864 4118]
 [-864 4117]
 [-863 4117]
 [-863 4116]
 [-862 4116]]"
B,,Dragão,20000403,07-01 07,"[[-858 4117]
 [-859 4117]
 [-859 4118]
 [-860 4118]
 [-861 4118]
 [-862 4118]
 [-863 4118]
 [-863 4117]
 [-864 4117]
 [-864 4116]
 [-864 4115]
 [-863 4115]
 [-864 4115]
 [-863 4115]
 [-864 4115]]"
A,33180.0,,20000570,07-01 07,"[[-866 4118]
 [-865 4118]
 [-866 4119]]"
C,,,20000005,07-01 07,"[[-859 4115]
 [-859 4116]
 [-859 4117]
 [-858 4117]]"
C,,,20000089,07-01 07,"[[-864 4117]
 [-864 4118]]"
C,,,20000423,07-01 07,"[[-860 4116]
 [-861 4116]
 [-860 4116]
 [-861 4116]
 [-862 4116]
 [-862 4117]]"
A,39233.0,,20000657,07-01 07,"[[-866 4117]
 [-865 4117]
 [-865 4118]
 [-864 4119]
 [-863 4119]
 [-863 4118]
 [-862 4118]
 [-862 4119]
 [-861 4119]
 [-860 4119]]"
C,,,20000320,07-01 07,"[[-861 4115]
 [-860 4115]
 [-860 4116]]"
B,,Marquês,20000309,07-01 07,"[[-860 4117]
 [-859 4117]
 [-858 4117]
 [-857 4117]]"
A,22864.0,,20000596,07-01 07,"[[-866 4118]
 [-865 4118]
 [-865 4119]]"
C,,,20000233,07-01 07,[[-863 4117]]
